semaforo;localizacao1;localizacao2;funcionamento;utilizacao;sinalsonoro;sinalizadorciclista;Latitude;Longitude
624;Visconde de Suassuna, Av.;Nº 500, Em frente ao;E;Ocasional/Ped.;N;N;-8.052592;-34.886268
625;Mascarenhas de Morais, Av.;Aurélio C.Cavalcante, lado oposto;E;Ocasional/Ped.;N;N;-8.139774;-34.917560
626;Mascarenhas de Morais, Av.;Aurélio C.Cavalcante, próx. a Rua;E;Ocasional/Ped.;N;N;-8.139507;-34.917362
627;Cruz Cabugá, Av.;Nº 665, Em frente ao;E/Git;Ocasional/Ped.;S;N;-8.048978;-34.878004
628;Benfica, Rua;Demócrito de Souza Filho, Rua;E/Git;Veicular;N;N;-8.058146;-34.906144
629;Benfica, Rua;Arlindo Gouveia, Rua;E/Git;Veicular;N;N;-8.057949;-34.904100
630;Conde de Irajá, Rua;Beira Rio, Av.;E/Git;Veicular;N;N;-8.045639;-34.904331
631;Mascarenhas de Morais, Av.;Noruega, Rua;E/Git;Veicular;N;N;-8.104908;-34.911083
632;Arquiteto Luis Nunes, Rua;Frente  Esc Frente a Escola Anita Garibaldi;E/Git;Ocasional/Ped.;N;N;-8.095085;-34.911600
633;Arquiteto Luis Nunes, Rua;Rua Miss. Joel Carlson;E/Git;Veicular;N;N;-8.096028;-34.911796
634;Arquiteto Luis Nunes, Rua;Av. Eng. Alves de Souza;E/Git;Veic.C/Ped.Ocas.;N;N;-8.098032;-34.912281
635;Arquiteto Luis Nunes, Rua;Em Frente ao N° 285;E/Git;Ocasional/Ped.;N;N;-8.1015170;-34.912952
636;Rua Paris;Rua Jean Emile Favre;E/Git;Veicular;N;N;-8.105941;-34.913711
637;Arquiteto Luis Nunes, Rua;Próx. Ao N° 476;E/Git;Ocasional/Ped.;N;N;-8.104876;-34.91351
640;Mac. Arthur, Av. Gal.;Silvino de Macedo, Rua Sgt;E/Git;Veicular;N;N;-8.110396;-34.906276
641;Uriel de Holanda, Rua;Esc. Est. Pe. Nércio Rodrigues,E/Frente;E;Ocasional/Ped.;N;N;-8.008529;-34.904465
642;Jerônimo Vilela, Rua;Prof. José dos Anjos;E;Veicular;N;N;-8.024514;-34.882922
643;Norte Miguel Arraes de Alencar, Av.;Gomes Coutinho, Rua;E/Git;Veicular;N;N;-8.026861;-34.904560
644;Barão de Souza Leão, Rua;20 de Janeiro, Rua.;E/Git;Veic.C/Ped.Paral.;N;N;-8.133081;-34.913173
645;Luis Correia de Brito, Av.;Nº 787, E/F;E;Ocasional/Ped.;N;N;-8.024768;-34.874983
646;17 de Agosto, Av.;Engenheiro Oscar Ferreira, Rua;E/Git;Veicular;N;N;-8.030863;-34.924507
647;do Arraial, Estrada;ao Nº 4715, E/F;E/Git;Ocasional/Ped.;N;N;-8.027678;-34.924486
648;Antônio Falcão, Rua;Gal. Edson A. Ramalho, Rua;E/Git;Veicular;N;N;-8.113374;-34.900106
649;João Tude de Melo, Rua;Virgínia Loreto, Rua;E/Git;Veicular;N;N;-8.035838;-34.909644
650;Agamenon Magalhães, Av. Gov.;Em frente ao Hospital da Restauração;E/Git;Ocasional/Ped.;N;N;-8.054795;-34.897674
651;Rua João Sales de Menezes;Av. Professor Antonio Coelho;E/Git;Veic.C/Ped.Paral.;N;N;-8.039950;-34.944695
652;Av. Mário Álvares Pereira de Lyra;Rua Mauricéa;E/Git;Veic.C/Ped.Paral.;N;N;-8.047018;-34.936019
653;Rua Estado de Israel;Av. Lins Petit;E/Git;Veicular;N;N;-8.062788;-34.895284
654;Av. São Paulo;Rua Construtor Luiz Carvalhedo;E/Git;Veic.C/Ped.Paral.;N;N;-8.082019;-34.939725
655;Estrada das Ubaias;Rua Conselheiro Nabuco;E/Git;Veic.C/Ped.Paral.;N;N;-8.029123;-34.917341
656;Rua Antonio de Góes;Rua Nogueira de Souza;E/Git;Veicular;N;N;-8.085030;-34.887150
657;Av. Herculano Bandeira;Rua Nogueira de Souza;E/Git;Veicular;N;N;-8.085877;-34.888019
658;Av. Republica Árabe Unida;Rua Nogueira de Souza;E/Git;Veicular;N;N;-8.086776;-34.888969
659;Rua Manoel de Brito;Av. Republica Árabe Unida;E/Git;Veicular;N;N;-8.087144;-34.888434
660;Av. Herculano Bandeira;Rua Arquiteto Augusto Reinaldo;E/Git;Veicular;N;N;-8.085393;-34.888464
661;Largo do Cabanga (sent. B. Viagem);Pista Oeste;E/Git;Ocasional/Ped.;N;N;-8.079534;-34.892795
662;Largo do Cabanga (sent. B. Viagem);Pista Leste;E/Git;Ocasional/Ped.;N;N;-8.080363;-34.892198
663;Boa Viagem, Av.;Rua Henrique Capitolino;E/Git;Veic.C/Ped.Paral.;N;N;-8.110297;-34.889290
